epoch,accuracy,loss,val_accuracy,val_loss
0,0.48672181367874146,1.191382884979248,0.5445026159286499,0.9321678876876831
1,0.6956900358200073,0.7617986798286438,0.69808030128479,0.7197750806808472
2,0.7392250895500183,0.644829511642456,0.7050610780715942,0.6736328601837158
3,0.7953853011131287,0.5565405488014221,0.7626526951789856,0.6168339848518372
4,0.8075751066207886,0.5045291781425476,0.7417103052139282,0.6087315082550049
5,0.8119286298751831,0.47654154896736145,0.7574170827865601,0.5817543864250183
6,0.8332607746124268,0.4418679177761078,0.7626526951789856,0.5603736639022827
7,0.84283846616745,0.40823879837989807,0.7696335315704346,0.5624967813491821
8,0.8524162173271179,0.39124053716659546,0.7766143083572388,0.5509828925132751
9,0.8537222743034363,0.3854345679283142,0.7818499207496643,0.5382788777351379
10,0.8698301911354065,0.36066991090774536,0.7801046967506409,0.5321716666221619
11,0.8646060228347778,0.3428186774253845,0.7696335315704346,0.5508191585540771
12,0.8833260536193848,0.32754001021385193,0.7783595323562622,0.5318160653114319
13,0.8929038047790527,0.30714312195777893,0.7975566983222961,0.5086686611175537
14,0.8920331001281738,0.30825328826904297,0.7888306975364685,0.5279392004013062
15,0.8929038047790527,0.2898339331150055,0.7801046967506409,0.5308070182800293
16,0.9020461440086365,0.286615252494812,0.783595085144043,0.5230778455734253
17,0.9068350195884705,0.2661741375923157,0.8027923107147217,0.5141041278839111
18,0.9111884832382202,0.2553918659687042,0.7975566983222961,0.5068261623382568
19,0.9085764288902283,0.25958991050720215,0.8167539238929749,0.49598467350006104
